CMDLINE C:\Users\Andreas\Anaconda3\python.exe aoristic.py
MEM 101.933594 1512224966.5290
MEM 101.933594 1512224966.6290
MEM 101.933594 1512224966.7290
MEM 101.933594 1512224966.8290
MEM 101.933594 1512224966.9290
MEM 101.933594 1512224967.0290
MEM 101.933594 1512224967.1290
MEM 101.933594 1512224967.2291
MEM 101.933594 1512224967.3291
MEM 101.933594 1512224967.4291
MEM 101.933594 1512224967.5291
MEM 101.933594 1512224967.6291
MEM 101.933594 1512224967.7291
MEM 101.933594 1512224967.8291
MEM 101.933594 1512224967.9291
MEM 101.933594 1512224968.0291
MEM 101.933594 1512224968.1291
MEM 101.933594 1512224968.2291
MEM 101.933594 1512224968.3291
MEM 101.933594 1512224968.4291
MEM 101.933594 1512224968.5291
MEM 101.933594 1512224968.6291
MEM 101.933594 1512224968.7291
MEM 101.933594 1512224968.8291
MEM 101.933594 1512224968.9291
MEM 101.933594 1512224969.0292
MEM 101.933594 1512224969.1292
MEM 101.933594 1512224969.2292
MEM 101.933594 1512224969.3292
MEM 101.933594 1512224969.4292
MEM 101.933594 1512224969.5292
MEM 101.933594 1512224969.6292
MEM 101.933594 1512224969.7292
MEM 101.933594 1512224969.8292
MEM 101.933594 1512224969.9292
MEM 101.933594 1512224970.0292
MEM 101.933594 1512224970.1292
MEM 101.933594 1512224970.2292
MEM 101.933594 1512224970.3292
MEM 101.933594 1512224970.4292
MEM 101.933594 1512224970.5292
MEM 101.933594 1512224970.6292
MEM 101.933594 1512224970.7293
MEM 101.933594 1512224970.8293
MEM 101.933594 1512224970.9293
MEM 101.933594 1512224971.0293
MEM 101.933594 1512224971.1293
MEM 101.933594 1512224971.2293
MEM 101.933594 1512224971.3293
MEM 101.933594 1512224971.4293
MEM 101.933594 1512224971.5293
MEM 101.933594 1512224971.6293
MEM 101.933594 1512224971.7293
MEM 101.933594 1512224971.8293
MEM 101.933594 1512224971.9293
MEM 101.933594 1512224972.0293
MEM 101.933594 1512224972.1293
MEM 101.933594 1512224972.2293
MEM 101.933594 1512224972.3293
MEM 101.933594 1512224972.4293
MEM 101.933594 1512224972.5294
MEM 101.933594 1512224972.6294
MEM 101.933594 1512224972.7294
MEM 101.933594 1512224972.8294
MEM 101.933594 1512224972.9294
MEM 101.933594 1512224973.0294
MEM 101.933594 1512224973.1294
MEM 101.933594 1512224973.2294
MEM 101.933594 1512224973.3294
MEM 101.933594 1512224973.4294
MEM 101.933594 1512224973.5294
MEM 101.933594 1512224973.6294
MEM 101.933594 1512224973.7294
MEM 102.000000 1512224973.8294
MEM 102.000000 1512224973.9294
MEM 102.000000 1512224974.0294
MEM 102.000000 1512224974.1294
MEM 102.000000 1512224974.2295
MEM 102.000000 1512224974.3295
MEM 102.000000 1512224974.4295
MEM 102.000000 1512224974.5295
MEM 102.000000 1512224974.6295
MEM 102.000000 1512224974.7295
MEM 102.000000 1512224974.8295
MEM 102.000000 1512224974.9295
MEM 102.000000 1512224975.0295
MEM 102.000000 1512224975.1295
MEM 102.000000 1512224975.2295
MEM 102.000000 1512224975.3295
MEM 102.000000 1512224975.4295
MEM 102.000000 1512224975.5295
MEM 55.058594 1512224975.6295
